estacao=TRMM.4762 (9005761)
municipio=Espigão D`Oeste (1100098)
latitude=-11,0
longitude=-61,0
altitude=204,0m 

* variaveis calculadas pelo sistema 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; precipitacao ; precipitacao Estimada ; estiagem* ; estiagemAgricola* ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; evapotranspiracaoPotencial ; radiacaoSolar ; velocidadeVento ; direcaoVento ; horarioVento ; pontoOrvalhoMinimo ; pontoOrvalhoMaximo ; pressaoAtmMinima ; pressaoAtmMaxima ; evapotranspiracaoReal* ; disponibilidadeAguaSolo*
29/08/2018;23,0;sim;28,5;sim;34,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
28/08/2018;21,0;sim;30,0;sim;39,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
27/08/2018;18,0;sim;26,0;sim;34,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
26/08/2018;20,0;sim;24,0;sim;28,0;sim;0,2;não;;;;não;;não;;;;;;;;;;;
25/08/2018;21,0;sim;24,5;sim;28,0;sim;0,18;não;;;;não;;não;;;;;;;;;;;
24/08/2018;22,0;sim;28,0;sim;34,0;sim;0,6;não;;;;não;;não;;;;;;;;;;;
23/08/2018;20,0;sim;27,5;sim;35,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
22/08/2018;16,0;sim;24,0;sim;32,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
21/08/2018;18,0;sim;23,5;sim;29,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
20/08/2018;22,0;sim;26,5;sim;31,0;sim;2,8;não;;;;não;;não;;;;;;;;;;;
19/08/2018;22,0;sim;28,5;sim;35,0;sim;1,1;não;;;;não;;não;;;;;;;;;;;
18/08/2018;21,0;sim;27,0;sim;33,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
17/08/2018;22,0;sim;28,5;sim;35,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
16/08/2018;23,0;sim;29,0;sim;35,0;sim;0,03;não;;;;não;;não;;;;;;;;;;;
15/08/2018;22,0;sim;28,5;sim;35,0;sim;8,03;não;;;;não;;não;;;;;;;;;;;
14/08/2018;28,0;sim;33,0;sim;38,0;sim;5,18;não;;;;não;;não;;;;;;;;;;;
13/08/2018;27,0;sim;31,5;sim;36,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
12/08/2018;24,0;sim;27,0;sim;30,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
11/08/2018;22,0;sim;26,5;sim;31,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
